Brand name,Price,Rating,Rating count,Review count,Ranking,URL,SKU
Denler,17056,4.5,False,False,4,https://www.amazon.in/Denler-DS04-Digital-Fingerprint-Warranty/dp/B0BCL2CL7F/ref=sr_1_145?dib=eyJ2IjoiMSJ9.HVfAWKPvR4Ly1Y1azcDs1QAEfXlaPZa2C14pIwgtrS68Koqcxz97Rm4hIOPjRlYkVpZd86kWkSHbrSUmTk3YOPn1nUMYC4QqVzvqAl1o5va40AbA60OOLKikcxoSefe1TCa-mTf_qzMeul2ZAjK-G9A_MuFSuV6P6IwFrwCYPoSyONBcBGW0_shrJC-F7YHJlsiYveT6qRv9a10Nb-XDCjM6CRez6EcF4zPPMRvqQbKvNlefVob3prGZ_pswEVb6B-jFEnrqOH1TP6lrMSZO7OWVTu9qeh5WYCY9vpEaK2c.uCi_P8usnwbugN1He8X3PygvbJO76jYLN0D90TW528o&dib_tag=se&keywords=smart+lock&qid=1721239241&sr=8-145,2
BytBots,7799,5.0,False,False,6,https://www.amazon.in/BytBots-Pro-Fingerprint-Mechanical-Installtion/dp/B0D666DZBP/ref=sr_1_147?dib=eyJ2IjoiMSJ9.HVfAWKPvR4Ly1Y1azcDs1QAEfXlaPZa2C14pIwgtrS68Koqcxz97Rm4hIOPjRlYkVpZd86kWkSHbrSUmTk3YOPn1nUMYC4QqVzvqAl1o5va40AbA60OOLKikcxoSefe1TCa-mTf_qzMeul2ZAjK-G9A_MuFSuV6P6IwFrwCYPoSyONBcBGW0_shrJC-F7YHJlsiYveT6qRv9a10Nb-XDCjM6CRez6EcF4zPPMRvqQbKvNlefVob3prGZ_pswEVb6B-jFEnrqOH1TP6lrMSZO7OWVTu9qeh5WYCY9vpEaK2c.uCi_P8usnwbugN1He8X3PygvbJO76jYLN0D90TW528o&dib_tag=se&keywords=smart+lock&qid=1721239241&sr=8-147,1
LAVNA,5690,4.3,False,False,4,https://www.amazon.in/LAVNA-LA16-Fingerprint-Bluetooth-Mobile/dp/B0CBCXKSSP/ref=sr_1_1?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieXD-rC0shRcP3avQuU33G31Xxz8h9tnu_MXHK8KfmPD84IxjVBUenT612U7nFxRl4YN06jHIwdFJXR7b8aqz7W1fGZTLVZ0firsUeYJIgxJTbS1TiQ3dyEjqZRwegGGtZ-CjSXSvp0yNlZdjhrK5L82Albbd6AFQR5UzeF7OjP77g9rsLYXYSTxjZfyHh7Qu5Lf2tsFhoizq9LwiAj-yV-2WEeEYLrM2gIJSVS1LFLM8ZrSzC3gKJcdv2ciV3gbFsuuVZy7UqcH35kPlZYLBnac.tgy7mP5sIS2UkOcg14-4a2mFz3ZtMFyRIED5FVtqKZ4&dib_tag=se&keywords=smart+lock&qid=1721224753&sr=8-1,13
Golens,22999,3.4,False,False,9,https://www.amazon.in/Golens-X47-Fingerprint-Mechanical-Technology/dp/B0CLSG66NK/ref=sr_1_148?dib=eyJ2IjoiMSJ9.HVfAWKPvR4Ly1Y1azcDs1QAEfXlaPZa2C14pIwgtrS68Koqcxz97Rm4hIOPjRlYkVpZd86kWkSHbrSUmTk3YOPn1nUMYC4QqVzvqAl1o5va40AbA60OOLKikcxoSefe1TCa-mTf_qzMeul2ZAjK-G9A_MuFSuV6P6IwFrwCYPoSyONBcBGW0_shrJC-F7YHJlsiYveT6qRv9a10Nb-XDCjM6CRez6EcF4zPPMRvqQbKvNlefVob3prGZ_pswEVb6B-jFEnrqOH1TP6lrMSZO7OWVTu9qeh5WYCY9vpEaK2c.uCi_P8usnwbugN1He8X3PygvbJO76jYLN0D90TW528o&dib_tag=se&keywords=smart+lock&qid=1721239241&sr=8-148,9
QUBO,8990,4.4,False,False,5,https://www.amazon.in/QUBO-Essential-Unlocking-Fingerprint-Mechanical/dp/B0BDFMGZVD/ref=sr_1_2?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieXD-rC0shRcP3avQuU33G31Xxz8h9tnu_MXHK8KfmPD84IxjVBUenT612U7nFxRl4YN06jHIwdFJXR7b8aqz7W1fGZTLVZ0firsUeYJIgxJTbS1TiQ3dyEjqZRwegGGtZ-CjSXSvp0yNlZdjhrK5L82Albbd6AFQR5UzeF7OjP77g9rsLYXYSTxjZfyHh7Qu5Lf2tsFhoizq9LwiAj-yV-2WEeEYLrM2gIJSVS1LFLM8ZrSzC3gKJcdv2ciV3gbFsuuVZy7UqcH35kPlZYLBnac.tgy7mP5sIS2UkOcg14-4a2mFz3ZtMFyRIED5FVtqKZ4&dib_tag=se&keywords=smart+lock&qid=1721224753&sr=8-2,6
Ozone,18250,0.0,False,False,10,https://www.amazon.in/Ozone-OZ-FDL-11-P-Life-Antique-Bronze-Assistant/dp/B09SX3C9FL/ref=sr_1_149?dib=eyJ2IjoiMSJ9.HVfAWKPvR4Ly1Y1azcDs1QAEfXlaPZa2C14pIwgtrS68Koqcxz97Rm4hIOPjRlYkVpZd86kWkSHbrSUmTk3YOPn1nUMYC4QqVzvqAl1o5va40AbA60OOLKikcxoSefe1TCa-mTf_qzMeul2ZAjK-G9A_MuFSuV6P6IwFrwCYPoSyONBcBGW0_shrJC-F7YHJlsiYveT6qRv9a10Nb-XDCjM6CRez6EcF4zPPMRvqQbKvNlefVob3prGZ_pswEVb6B-jFEnrqOH1TP6lrMSZO7OWVTu9qeh5WYCY9vpEaK2c.uCi_P8usnwbugN1He8X3PygvbJO76jYLN0D90TW528o&dib_tag=se&keywords=smart+lock&qid=1721239241&sr=8-149,4
Godrej,14607,4.4,False,False,6,https://www.amazon.in/Godrej-Unlocking-Fingerprint-Mechanical-Champagne/dp/B0C2HKWHQ7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieXD-rC0shRcP3avQuU33G31Xxz8h9tnu_MXHK8KfmPD84IxjVBUenT612U7nFxRl4YN06jHIwdFJXR7b8aqz7W1fGZTLVZ0firsUeYJIgxJTbS1TiQ3dyEjqZRwegGGtZ-CjSXSvp0yNlZdjhrK5L82Albbd6AFQR5UzeF7OjP77g9rsLYXYSTxjZfyHh7Qu5Lf2tsFhoizq9LwiAj-yV-2WEeEYLrM2gIJSVS1LFLM8ZrSzC3gKJcdv2ciV3gbFsuuVZy7UqcH35kPlZYLBnac.tgy7mP5sIS2UkOcg14-4a2mFz3ZtMFyRIED5FVtqKZ4&dib_tag=se&keywords=smart+lock&qid=1721224753&sr=8-3,6
LAVNA,3299,4.5,False,False,9,https://www.amazon.in/LAVNA-LA15-Digital-Fingerprint-Suitable/dp/B0CSFPPLMG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.owQKMCqjYrr2xBCpclXieXD-rC0shRcP3avQuU33G31Xxz8h9tnu_MXHK8KfmPD84IxjVBUenT612U7nFxRl4YN06jHIwdFJXR7b8aqz7W1fGZTLVZ0firsUeYJIgxJTbS1TiQ3dyEjqZRwegGGtZ-CjSXSvp0yNlZdjhrK5L82Albbd6AFQR5UzeF7OjP77g9rsLYXYSTxjZfyHh7Qu5Lf2tsFhoizq9LwiAj-yV-2WEeEYLrM2gIJSVS1LFLM8ZrSzC3gKJcdv2ciV3gbFsuuVZy7UqcH35kPlZYLBnac.tgy7mP5sIS2UkOcg14-4a2mFz3ZtMFyRIED5FVtqKZ4&dib_tag=se&keywords=smart+lock&qid=1721224753&sr=8-4,13
Golens,7899,2.5,False,False,11,https://www.amazon.in/Golens-X62-Bluetooth-Fingerprint-Wireless/dp/B0CCY2CX66/ref=sr_1_150?dib=eyJ2IjoiMSJ9.HVfAWKPvR4Ly1Y1azcDs1QAEfXlaPZa2C14pIwgtrS68Koqcxz97Rm4hIOPjRlYkVpZd86kWkSHbrSUmTk3YOPn1nUMYC4QqVzvqAl1o5va40AbA60OOLKikcxoSefe1TCa-mTf_qzMeul2ZAjK-G9A_MuFSuV6P6IwFrwCYPoSyONBcBGW0_shrJC-F7YHJlsiYveT6qRv9a10Nb-XDCjM6CRez6EcF4zPPMRvqQbKvNlefVob3prGZ_pswEVb6B-jFEnrqOH1TP6lrMSZO7OWVTu9qeh5WYCY9vpEaK2c.uCi_P8usnwbugN1He8X3PygvbJO76jYLN0D90TW528o&dib_tag=se&keywords=smart+lock&qid=1721239241&sr=8-150,9
bolt,4999,3.3,False,False,12,https://www.amazon.in/Padlock-Bluetooth-Security-Waterproof-Platform/dp/B09P58BKMJ/ref=sr_1_151?dib=eyJ2IjoiMSJ9.HVfAWKPvR4Ly1Y1azcDs1QAEfXlaPZa2C14pIwgtrS68Koqcxz97Rm4hIOPjRlYkVpZd86kWkSHbrSUmTk3YOPn1nUMYC4QqVzvqAl1o5va40AbA60OOLKikcxoSefe1TCa-mTf_qzMeul2ZAjK-G9A_MuFSuV6P6IwFrwCYPoSyONBcBGW0_shrJC-F7YHJlsiYveT6qRv9a10Nb-XDCjM6CRez6EcF4zPPMRvqQbKvNlefVob3prGZ_pswEVb6B-jFEnrqOH1TP6lrMSZO7OWVTu9qeh5WYCY9vpEaK2c.uCi_P8usnwbugN1He8X3PygvbJO76jYLN0D90TW528o&dib_tag=se&keywords=smart+lock&qid=1721239241&sr=8-151,1
