Brand name,Price,Rating,Rating count,Review count,Ranking,URL,SKU
Golens,19499,4.3,64,64,4,https://www.amazon.in/Golens-X19-Recognition-Intercom-Fingerprint/dp/B0BSP2PFG1/ref=sr_1_145?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-145,3
bolt,4999,3.3,5,5,5,https://www.amazon.in/Padlock-Bluetooth-Security-Waterproof-Platform/dp/B09P58BKMJ/ref=sr_1_146?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-146,1
AUTENS,1699,3.5,24,24,6,https://www.amazon.in/AUTENS-Fingerprint-Rechargeable-Electronic-Biometric/dp/B09V45YS22/ref=sr_1_147?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-147,1
CODACE,1699,3.6,94,94,9,https://www.amazon.in/Electronic-Fingerprint-Furniture-Cupboard-Biometric/dp/B08P5986C2/ref=sr_1_148?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-148,1
Escozor®,4199,0.0,0,0,10,https://www.amazon.in/Escozor%C2%AE-Smart-Furniture-Digital-Keyless/dp/B0C4ZK2FDQ/ref=sr_1_149?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-149,3
EZVIZ,11999,0.0,0,0,11,https://www.amazon.in/EZVIZ-Fingerprint-Unlocking-Supports-Emergency/dp/B0CJNM4TZW/ref=sr_1_150?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-150,1
Smart,1699,3.8,33,33,12,https://www.amazon.in/Fingerprint-Biometric-Electronic-Wardrobe-Furniture/dp/B09VC2Y146/ref=sr_1_151?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-151,2
QUBO,23980,5.0,1,1,13,https://www.amazon.in/Anywhere-Unlocking-Fingerprint-Bluetooth-Mechanical/dp/B0CH1BLVZF/ref=sr_1_152?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-152,2
Equal,7990,3.1,4,4,14,https://www.amazon.in/S8-Unlocking-Fingerprint-Mechanical-Wifi/dp/B0CTTKF5P2/ref=sr_1_153?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-153,1
Jenix,549,3.0,2,2,18,https://www.amazon.in/Jenix-Waterproof-13-56MHz-Proximity-Security/dp/B0BXFPGXL3/ref=sr_1_154?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-154,1
